Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
freeCodeCamp,31973,8444,4708,33024,13,147,16673,62,32864,366270,397835,TypeScript,True,False,True,False,True,False
free-programming-books,55128,9666,2510,8340,24,29,899,13,8295,279174,16790,,True,False,True,False,True,False
996.ICU,21415,4261,641,3189,1,,,20,1926,265793,188163,,False,False,True,False,False,False
coding-interview-university,67629,8599,289,2357,1,44,348,11,875,257474,20575,,True,False,True,False,False,False
awesome,25641,7514,557,1089,2,24,301,41,1866,253787,1461,,True,False,True,False,True,False
developer-roadmap,33872,6851,606,3181,39,282,799,115,2256,239448,1482409,TypeScript,True,False,True,True,True,False
public-apis,27194,3852,1266,4527,2,46,417,147,2813,239231,4948,Python,True,False,True,False,False,False
system-design-primer,39090,6474,118,329,2,181,74,198,284,220032,11187,Python,True,True,True,True,False,False
react,43261,6629,1618,15806,68,986,11262,290,13259,207396,321007,JavaScript,True,True,True,True,True,False
vue,33714,5997,358,3547,13,370,9596,264,2143,203574,31925,TypeScript,True,True,True,True,False,False
build-your-own-x,19605,4491,100,515,1,169,381,116,201,200838,965,,True,False,True,False,False,False
tensorflow,88297,7722,3371,147878,69,1942,35261,208,22748,174468,937506,C++,True,True,True,False,False,False
javascript-algorithms,27895,4384,199,1097,1,111,208,200,471,169832,13236,JavaScript,True,False,True,False,False,False
awesome-python,23134,5796,400,1639,2,,,334,1458,167781,6728,Python,False,False,True,False,True,False
You-Dont-Know-JS,32533,5960,180,1892,5,83,826,49,825,167774,12512,,True,True,True,False,False,False
CS-Notes,50166,5382,231,3776,1,119,441,60,541,164135,116174,,True,True,True,True,True,False
bootstrap,78440,6819,1359,22400,77,297,21639,109,14462,163542,235810,JavaScript,True,True,True,False,True,True
ohmyzsh,25253,2667,2182,6895,1,206,4244,412,6433,158841,11342,Shell,True,True,True,True,False,True
Python,40076,5939,959,2797,6,24,1225,136,6856,158582,13424,Python,True,True,True,True,False,True
flutter,25329,3555,1197,34822,546,11397,70730,171,43753,153314,258050,Dart,True,True,True,True,False,False
linux,48135,8160,14172,1185343,1,,,310,451,151292,4403060,C,False,True,True,False,False,False
gitignore,84203,3350,1253,3528,8,,,403,3810,147887,2356,,False,False,True,False,False,False
vscode,25672,3231,1837,108758,745,6604,149400,405,20727,146159,865952,TypeScript,True,True,True,True,False,False
computer-science,17956,5486,132,998,5,16,593,0,396,139100,1204,,True,True,True,True,False,False
the-art-of-command-line,13569,2839,163,1210,2,106,130,115,453,136090,2673,,True,True,True,False,False,False
Python-100-Days,49095,6178,12,372,7,497,102,184,135,135849,310266,Python,True,True,True,True,False,False
javascript,25375,3833,491,1949,5,93,1155,66,1360,133771,3619,JavaScript,True,False,True,True,True,False
JavaGuide,43942,4557,402,4708,2,66,816,0,1070,133613,161000,Java,True,True,True,True,False,True
awesome-selfhosted,7564,2011,1196,6047,11,54,723,49,2759,131408,15240,Makefile,True,True,True,False,False,False
Auto-GPT,26499,1441,281,1926,29,514,1126,285,1341,130631,6873,Python,True,True,True,True,True,True
youtube-dl,8990,2205,790,18716,9,3825,22174,910,3935,120284,64866,Python,True,True,True,False,True,False
fucking-algorithm,22308,2359,106,424,2,318,442,4,431,116021,124343,Markdown,True,True,True,True,False,True
30-seconds-of-code,11478,2645,307,8931,1,0,277,0,1487,111466,592945,JavaScript,True,True,True,True,False,False
go,16510,3462,1974,56546,56,7977,47929,346,2626,111277,348930,Go,True,True,True,True,False,True
react-native,23251,3652,2475,27599,95,1699,22640,293,12358,109545,857875,Java,True,True,True,True,True,False
electron,14648,2894,1202,27302,215,806,17492,99,19190,107398,137443,C++,True,True,True,False,False,False
next.js,23870,1379,2636,15812,180,1627,14588,281,15485,106067,1837143,JavaScript,True,False,True,False,False,True
d3,23311,3739,123,4355,26,6,2134,0,1114,105292,42392,JavaScript,True,False,True,True,False,True
free-programming-books-zh_CN,27507,5932,123,922,1,,,27,424,102386,1236,,False,False,True,False,False,False
project-based-learning,14350,2241,104,570,1,17,57,21,307,102252,438,,True,True,True,True,False,True
awesome-go,10939,2749,1729,4555,2,2,575,138,4098,101418,10149,Go,True,False,True,False,False,True
axios,10309,1197,417,1450,10,386,3810,52,1311,100138,12315,JavaScript,True,True,True,False,False,True
create-react-app,26359,1952,897,2800,14,1573,6482,430,3733,99763,23405,JavaScript,True,True,True,False,True,True
transformers,20437,1008,1816,12855,171,531,11062,165,11505,99584,142228,Python,True,True,True,True,False,False
kubernetes,36097,3236,3427,116066,50,1664,41379,779,73951,98291,1194198,Go,True,True,True,False,False,False
the-book-of-secret-knowledge,7259,2106,100,1066,1,,,39,196,97505,3479,,False,False,True,False,False,False
node,25872,2893,3230,38922,56,1279,14706,439,29928,95352,1054650,JavaScript,True,True,True,False,False,True
three.js,34644,2557,1755,41580,12,368,11340,132,14032,91696,1277988,JavaScript,True,False,False,True,True,False
TypeScript,11748,2152,718,34789,266,6006,31101,277,15896,91183,2107281,TypeScript,True,True,True,True,False,False
tech-interview-handbook,11825,1904,140,1252,3,16,56,1,505,90569,32034,TypeScript,True,False,True,True,False,True
PowerToys,5260,1106,366,6590,59,4832,16685,26,4385,90536,323938,C#,True,True,True,True,False,False
deno,4855,1466,816,9300,66,1259,6574,95,10275,89367,108271,Rust,True,False,True,True,False,True
nodebestpractices,9224,1851,225,3810,96,26,279,19,899,89160,70080,Dockerfile,True,True,True,False,False,False
terminal,7770,1309,364,3608,445,1430,9830,44,3575,88733,132412,C++,True,True,True,True,False,True
angular,23573,3037,1720,27044,112,1239,23975,197,23792,88125,459824,TypeScript,True,True,True,False,False,True
material-ui,29787,1359,2752,21851,46,1276,16089,198,18812,86669,380200,TypeScript,True,True,True,False,False,True
ant-design,39525,206,1897,25158,18,908,25648,87,13964,85847,157732,TypeScript,True,True,True,True,True,True
scrcpy,8583,1135,111,2106,361,1328,2260,40,327,83511,5456,C,True,True,True,True,False,False
puppeteer,8927,1196,460,3504,24,271,5720,11,4045,83180,472694,TypeScript,True,False,True,False,True,False
vue-element-admin,29698,2211,123,1019,16,1187,2337,103,472,82280,15436,Vue,True,True,True,True,True,True
clean-code-javascript,11128,1848,112,546,1,57,81,27,246,82081,520,JavaScript,True,True,True,True,False,False
java-design-patterns,25064,3823,347,3454,6,183,663,16,1632,81833,30752,Java,True,False,True,True,False,False
rust,10776,1485,4361,224208,6,8911,39489,694,62202,81449,921681,Rust,True,True,True,False,False,False
storybook,8448,955,1699,50378,365,2038,8697,100,10312,78541,671173,TypeScript,True,True,True,False,False,True
animate.css,16436,2270,123,662,13,27,821,26,768,77784,1778,CSS,True,True,True,False,True,True
thefuck,3355,835,183,1636,2,213,456,74,593,77382,4031,Python,True,True,True,True,False,False
models,46251,2780,805,9016,64,1029,6080,169,3566,75776,612965,Jupyter Notebook,True,True,True,True,False,False
stable-diffusion-webui,14295,677,406,4382,18,1875,3156,53,1755,74820,30110,Python,True,True,True,True,False,True
awesome-chatgpt-prompts,9421,998,72,395,1,,,262,208,74368,624,HTML,False,False,True,False,True,False
realworld,6902,1554,76,881,17,52,460,15,588,74336,36176,TypeScript,True,True,True,False,False,True
laravel,23712,4459,639,6895,17,,,1,4514,73429,10633,PHP,False,False,True,False,False,False
LeetCodeAnimation,13919,2590,15,246,1,17,42,1,74,73103,509807,Java,True,True,True,True,False,False
papers-we-love,5162,3054,246,862,1,4,204,0,501,72092,230560,Shell,True,False,True,False,False,False
Font-Awesome,12422,1382,3,13,6,5339,13531,31,634,71422,110561,JavaScript,True,True,True,True,False,True
