Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Stargazers
31973,8444,4708,33024,13,147.0,16673.0,62,32864,397835.0,0,True,False,True,False,True,False,366270
33872,6851,606,3181,39,282.0,799.0,115,2256,1482409.0,0,True,False,True,True,True,False,239448
27194,3852,1266,4527,2,46.0,417.0,147,2813,4948.0,1,True,False,True,False,False,False,239231
39090,6474,118,329,2,181.0,74.0,198,284,11187.0,1,True,True,True,True,False,False,220032
43261,6629,1618,15806,68,986.0,11262.0,290,13259,321007.0,2,True,True,True,True,True,False,207396
33714,5997,358,3547,13,370.0,9596.0,264,2143,31925.0,0,True,True,True,True,False,False,203574
88297,7722,3371,147878,69,1942.0,35261.0,208,22748,937506.0,3,True,True,True,False,False,False,174468
27895,4384,199,1097,1,111.0,208.0,200,471,13236.0,2,True,False,True,False,False,False,169832
78440,6819,1359,22400,77,297.0,21639.0,109,14462,235810.0,2,True,True,True,False,True,True,163542
25253,2667,2182,6895,1,206.0,4244.0,412,6433,11342.0,4,True,True,True,True,False,True,158841
40076,5939,959,2797,6,24.0,1225.0,136,6856,13424.0,1,True,True,True,True,False,True,158582
25329,3555,1197,34822,546,11397.0,70730.0,171,43753,258050.0,5,True,True,True,True,False,False,153314
25672,3231,1837,108758,745,6604.0,149400.0,405,20727,865952.0,0,True,True,True,True,False,False,146159
49095,6178,12,372,7,497.0,102.0,184,135,310266.0,1,True,True,True,True,False,False,135849
25375,3833,491,1949,5,93.0,1155.0,66,1360,3619.0,2,True,False,True,True,True,False,133771
43942,4557,402,4708,2,66.0,816.0,0,1070,161000.0,6,True,True,True,True,False,True,133613
7564,2011,1196,6047,11,54.0,723.0,49,2759,15240.0,7,True,True,True,False,False,False,131408
26499,1441,281,1926,29,514.0,1126.0,285,1341,6873.0,1,True,True,True,True,True,True,130631
8990,2205,790,18716,9,3825.0,22174.0,910,3935,64866.0,1,True,True,True,False,True,False,120284
22308,2359,106,424,2,318.0,442.0,4,431,124343.0,8,True,True,True,True,False,True,116021
11478,2645,307,8931,1,0.0,277.0,0,1487,592945.0,2,True,True,True,True,False,False,111466
16510,3462,1974,56546,56,7977.0,47929.0,346,2626,348930.0,9,True,True,True,True,False,True,111277
23251,3652,2475,27599,95,1699.0,22640.0,293,12358,857875.0,6,True,True,True,True,True,False,109545
14648,2894,1202,27302,215,806.0,17492.0,99,19190,137443.0,3,True,True,True,False,False,False,107398
23870,1379,2636,15812,180,1627.0,14588.0,281,15485,1837143.0,2,True,False,True,False,False,True,106067
23311,3739,123,4355,26,6.0,2134.0,0,1114,42392.0,2,True,False,True,True,False,True,105292
10939,2749,1729,4555,2,2.0,575.0,138,4098,10149.0,9,True,False,True,False,False,True,101418
10309,1197,417,1450,10,386.0,3810.0,52,1311,12315.0,2,True,True,True,False,False,True,100138
26359,1952,897,2800,14,1573.0,6482.0,430,3733,23405.0,2,True,True,True,False,True,True,99763
20437,1008,1816,12855,171,531.0,11062.0,165,11505,142228.0,1,True,True,True,True,False,False,99584
36097,3236,3427,116066,50,1664.0,41379.0,779,73951,1194198.0,9,True,True,True,False,False,False,98291
25872,2893,3230,38922,56,1279.0,14706.0,439,29928,1054650.0,2,True,True,True,False,False,True,95352
34644,2557,1755,41580,12,368.0,11340.0,132,14032,1277988.0,2,True,False,False,True,True,False,91696
11748,2152,718,34789,266,6006.0,31101.0,277,15896,2107281.0,0,True,True,True,True,False,False,91183
11825,1904,140,1252,3,16.0,56.0,1,505,32034.0,0,True,False,True,True,False,True,90569
5260,1106,366,6590,59,4832.0,16685.0,26,4385,323938.0,10,True,True,True,True,False,False,90536
4855,1466,816,9300,66,1259.0,6574.0,95,10275,108271.0,11,True,False,True,True,False,True,89367
9224,1851,225,3810,96,26.0,279.0,19,899,70080.0,12,True,True,True,False,False,False,89160
7770,1309,364,3608,445,1430.0,9830.0,44,3575,132412.0,3,True,True,True,True,False,True,88733
23573,3037,1720,27044,112,1239.0,23975.0,197,23792,459824.0,0,True,True,True,False,False,True,88125
29787,1359,2752,21851,46,1276.0,16089.0,198,18812,380200.0,0,True,True,True,False,False,True,86669
39525,206,1897,25158,18,908.0,25648.0,87,13964,157732.0,0,True,True,True,True,True,True,85847
8583,1135,111,2106,361,1328.0,2260.0,40,327,5456.0,13,True,True,True,True,False,False,83511
8927,1196,460,3504,24,271.0,5720.0,11,4045,472694.0,0,True,False,True,False,True,False,83180
29698,2211,123,1019,16,1187.0,2337.0,103,472,15436.0,14,True,True,True,True,True,True,82280
11128,1848,112,546,1,57.0,81.0,27,246,520.0,2,True,True,True,True,False,False,82081
25064,3823,347,3454,6,183.0,663.0,16,1632,30752.0,6,True,False,True,True,False,False,81833
10776,1485,4361,224208,6,8911.0,39489.0,694,62202,921681.0,11,True,True,True,False,False,False,81449
8448,955,1699,50378,365,2038.0,8697.0,100,10312,671173.0,0,True,True,True,False,False,True,78541
16436,2270,123,662,13,27.0,821.0,26,768,1778.0,15,True,True,True,False,True,True,77784
3355,835,183,1636,2,213.0,456.0,74,593,4031.0,1,True,True,True,True,False,False,77382
46251,2780,805,9016,64,1029.0,6080.0,169,3566,612965.0,16,True,True,True,True,False,False,75776
14295,677,406,4382,18,1875.0,3156.0,53,1755,30110.0,1,True,True,True,True,False,True,74820
6902,1554,76,881,17,52.0,460.0,15,588,36176.0,0,True,True,True,False,False,True,74336
13919,2590,15,246,1,17.0,42.0,1,74,509807.0,6,True,True,True,True,False,False,73103
5162,3054,246,862,1,4.0,204.0,0,501,230560.0,4,True,False,True,False,False,False,72092
12422,1382,3,13,6,5339.0,13531.0,31,634,110561.0,2,True,True,True,True,False,True,71422
2985,704,116,580,2,360.0,910.0,4,176,88596.0,17,True,True,True,True,False,True,70051
18289,2614,37,731,1,2.0,137.0,0,114,33645.0,6,True,False,True,False,True,True,69964
10899,2576,205,1608,5,12.0,222.0,62,704,87472.0,2,True,False,True,True,True,True,69619
34222,3933,910,37480,5,346.0,7085.0,288,18778,232989.0,3,True,True,False,False,False,False,69517
55298,2643,1476,32896,6,2367.0,7317.0,108,13708,516913.0,3,True,False,True,True,False,False,68780
8978,2767,11,156,1,103.0,2359.0,0,31,4451.0,1,True,True,True,False,False,True,68769
7434,1367,393,1683,13,511.0,1514.0,178,1380,3222.0,9,True,False,True,False,False,False,68651
3516,595,268,5158,62,8.0,2835.0,7,2201,95651.0,18,True,False,True,False,False,True,68293
3310,873,590,7099,26,758.0,4238.0,53,3346,90560.0,0,True,True,True,True,False,False,67699
11459,1568,91,1069,4,112.0,2648.0,2,656,27830.0,9,True,True,True,False,False,False,67409
38602,3381,988,42704,16,605.0,28776.0,37,5648,166957.0,6,True,True,True,True,False,False,67216
7176,1071,762,7506,33,612.0,5849.0,70,4270,114520.0,9,True,True,True,False,False,False,67047
7203,964,337,2131,31,315.0,1646.0,58,962,3307.0,4,True,False,True,False,False,False,67001
6582,1013,76,872,9,571.0,474.0,86,271,3761.0,2,True,True,True,False,False,False,66833
18309,1648,2736,60143,21517,11026.0,22520.0,906,66705,1293337.0,1,True,True,True,True,False,False,66753
26789,2224,1,954,2,28.0,431.0,7,99,57964.0,6,True,True,True,True,False,False,66069
18670,2957,2211,46097,12,3899.0,18016.0,322,22981,197151.0,9,True,True,True,True,False,True,65905
4639,981,988,25993,8,1395.0,8328.0,303,13520,246384.0,19,True,True,True,True,False,False,65834
360,1738,228,26012,7,520.0,5602.0,6,5959,109855.0,2,True,False,True,False,True,True,64655
23082,2692,1812,68724,222,3629.0,28488.0,473,63230,1077052.0,6,True,True,True,False,False,False,63750
16517,1694,307,2964,4,650.0,1586.0,88,923,21151.0,2,True,True,True,True,True,True,63743
1710,471,252,3355,63,438.0,2149.0,76,3345,75116.0,11,True,True,True,False,False,True,63431
8737,1499,771,15883,86,190.0,9305.0,105,6094,59024.0,2,True,True,True,False,False,True,63050
5520,1377,536,15448,27,245.0,7079.0,73,7386,134057.0,13,True,True,True,False,False,True,63029
15642,2135,700,5066,8,0.0,2499.0,0,2399,10207.0,1,True,False,True,False,False,True,62931
10073,2516,999,150791,408,5795.0,7844.0,697,47914,987529.0,3,True,False,True,False,False,False,62689
8925,2218,1,558,1,114.0,150.0,7,10,46857.0,6,True,True,True,True,False,False,61730
11311,1475,2053,54078,11,7862.0,34011.0,1693,32502,1278472.0,3,True,True,True,False,False,False,61279
